Species,Spec/Race/Isl,Sex,Wing,SD,N,Tail,SD,N,Bill,SD,N,Culmen,SD,N,Tarsus,SD,N,Weight,SD,N
M. sclateri,"L,T,C ",m,62.9,1.6,33,41.5,1.1,28,17.5,0.6,24,15.2,0.5,33,17.6,0.5,34,10.6,1,21
M. sclateri,,f,59.5,2.1,6,38.1,1.5,6,16.8,1,6,14.3,0.5,6,17.2,0.3,6,10,1.5,5
M. sclateri,Credner,m,65.4,2.1,5,41,,1,18.5,,1,16,,1,18.5,,1,,,
M. sclateri,,f,61.5,2.1,2,,,,,,,,,,,,,,,
M. sclateri,Vuatom ,m,64.3,0.6,3,43.3,0.6,3,18,0,2,16,0,2,17.5,0.5,3,,,
M. sclateri,,f,60.7,0.6,3,39.8,0.3,3,17.3,0.6,3,15,0.5,3,17.3,0.3,3,,,
M. sclateri,Talele ,m,62.4,1.1,4,41.5,0.7,4,18.3,0.5,4,15.9,0.3,4,17.8,0.3,4,,,
M. sclateri,,f,,,,,,,,,,,,,,,,,,
M. sclateri,Witu ,m,64.5,1.3,5,43.3,1.5,3,18.2,0.6,5,16.3,0.3,5,17.9,0.2,5,,,
M. sclateri,,f,60.5,0.5,3,39.2,1.8,3,17,1,3,15,0.9,3,17.8,0.3,3,,,
M. sclateri,Karkar ,m,63.9,1.2,11,42.6,1,15,17.5,0.5,13,15.7,0.5,12,17.7,0.6,15,10.8,0.3,8
M. sclateri,,f,58.8,0.8,6,37.9,0.9,5,17,0.8,4,15,0.8,5,17.7,0.5,6,10.1,1.2,6
