Fig.,Trait,Year,Nf,Mf,SEf,Nm,Mm,SEm,
1A,Tarsus len (mm),1996,346,11.53,0.020,681,11.50,0.030,
1A,Tarsus len (mm),1997,83,11.90,0.050,117,11.76,0.050,
1A,Tarsus len (mm),1998,91,11.69,0.040,114,11.54,0.040,
1A,Tarsus len (mm),1999,66,11.34,0.030,98,11.24,0.030,
1A,Tarsus len (mm),2000,77,11.56,0.020,146,11.54,0.020,
1A,Tarsus len (mm),2001,58,11.51,0.030,98,11.48,0.020,
1A,Tarsus len (mm),2002,72,11.57,0.030,125,11.56,0.030,
1A,Tarsus len (mm),2003,111,11.57,0.030,175,11.59,0.030,
1A,Tarsus len (mm),2004,124,11.48,0.030,190,11.50,0.020,
1A,Tarsus len (mm),2005,45,11.54,0.050,68,11.54,0.030,
1A,Tarsus len (mm),2006,58,11.47,0.030,94,11.45,0.030,
1B,Bill len (mm),1996,346,6.97,0.012,681,6.88,0.016,
1B,Bill len (mm),1997,83,7.12,0.030,117,7.22,0.030,
1B,Bill len (mm),1998,91,7.15,0.030,114,7.16,0.040,
1B,Bill len (mm),1999,66,7.52,0.040,98,7.55,0.030,
1B,Bill len (mm),2000,77,7.03,0.030,146,7.04,0.020,
1B,Bill len (mm),2001,58,7.03,0.020,98,7.09,0.020,
1B,Bill len (mm),2002,72,7.26,0.040,125,7.33,0.030,
1B,Bill len (mm),2003,111,7.55,0.030,175,7.60,0.030,
1B,Bill len (mm),2004,124,7.48,0.030,190,7.54,0.030,
1B,Bill len (mm),2005,45,7.48,0.050,68,7.55,0.030,
1B,Bill len (mm),2006,58,7.54,0.040,94,7.48,0.030,
1C,Bill wid (mm),1996,346,6.30,0.014,681,6.21,0.019,
1C,Bill wid (mm),1997,83,6.24,0.030,117,6.35,0.030,
1C,Bill wid (mm),1998,91,6.20,0.030,114,6.38,0.030,
1C,Bill wid (mm),1999,66,6.20,0.020,98,6.21,0.020,
1C,Bill wid (mm),2000,77,6.39,0.010,146,6.47,0.010,
1C,Bill wid (mm),2001,58,6.39,0.020,98,6.44,0.010,
1C,Bill wid (mm),2002,72,6.30,0.030,125,6.42,0.020,
1C,Bill wid (mm),2003,111,6.37,0.030,175,6.54,0.030,
1C,Bill wid (mm),2004,124,6.31,0.030,190,6.42,0.030,
1C,Bill wid (mm),2005,45,6.36,0.030,68,6.44,0.030,
1C,Bill wid (mm),2006,58,6.45,0.040,94,6.49,0.030,
2A,Wing len (mm),1996,346,106.87,0.090,682,107.72,0.095,
2A,Wing len (mm),1997,83,106.38,0.200,117,106.70,0.190,
2A,Wing len (mm),1998,91,106.28,0.250,114,106.43,0.200,
2A,Wing len (mm),1999,66,105.53,0.270,98,106.17,0.200,
2A,Wing len (mm),2000,77,105.83,0.250,146,106.22,0.180,
2A,Wing len (mm),2001,58,105.58,0.290,98,106.53,0.180,
2A,Wing len (mm),2002,72,105.73,0.300,125,106.13,0.190,
2A,Wing len (mm),2003,111,105.68,0.180,175,106.22,0.150,
2A,Wing len (mm),2004,124,105.58,0.190,190,105.64,0.130,
2A,Wing len (mm),2005,45,105.76,0.340,68,106.07,0.240,
2A,Wing len (mm),2006,58,105.64,0.310,94,104.96,0.210,
2B,Tail len (mm),1996,346,46.05,0.069,681,46.28,0.100,
2B,Tail len (mm),1997,83,46.10,0.170,117,45.64,0.140,
2B,Tail len (mm),1998,91,45.77,0.180,114,45.54,0.160,
2B,Tail len (mm),1999,66,46.82,0.210,98,46.36,0.170,
2B,Tail len (mm),2000,77,45.87,0.190,146,45.51,0.140,
2B,Tail len (mm),2001,58,45.66,0.240,98,45.95,0.180,
2B,Tail len (mm),2002,72,45.57,0.190,125,45.80,0.140,
2B,Tail len (mm),2003,111,45.41,0.160,175,45.27,0.120,
2B,Tail len (mm),2004,124,45.92,0.150,190,45.61,0.120,
2B,Tail len (mm),2005,45,46.01,0.240,68,45.75,0.180,
2B,Tail len (mm),2006,58,45.74,0.280,94,45.25,0.160,
