Age_my,Coll.,Species,Nrib,Mrib,Srib,Nthet,Mthet,Sthet,Nh/w,Mh/w,Sh/w
434.00,8,E. sulcata,5,9.600,1.673,3,60.67,6.44,3,7.77,3.94
434.33,2,E. sulcata,3,10.667,3.055,4,61.50,4.44,3,9.87,3.16
434.67,5,E. sulcata,21,10.952,1.746,12,61.33,4.50,12,12.00,
435.00,9,E. curtisi,7,12.000,2.000,11,58.18,3.03,6,18.84,5.58
435.33,10,E. curtisi,8,12.250,2.252,12,60.50,4.44,6,20.85,4.40
435.67,3,E. curtisi,25,12.560,1.227,33,59.27,4.44,15,22.37,3.87
436.00,15,E. intermedia,18,14.556,1.338,47,56.72,3.94,20,27.35,5.90
436.33,6,E. intermedia,15,16.800,1.474,42,52.67,4.30,13,33.82,9.40
436.66,7,E. hemisphaerica,81,15.136,1.339,114,56.88,5.56,25,41.72,9.65
437.00,13,E. hemisphaerica,8,13.750,1.282,94,59.17,6.29,39,41.97,7.94
437.33,14,E. hemisphaerica,79,14.278,1.270,29,60.48,5.85,12,40.48,7.55
437.66,11,E. hemisphaerica,31,13.613,1.202,50,59.08,5.19,3,48.40,3.30
438.00,12,E. hemisphaerica,11,14.000,1.265,14,61.57,5.06,5,45.56,5.20
