Sample,Age,Na,Xa,Sa,Nb,Xb,Sb,Nc,Xc,Sc,Nd,Xd,Sd,Ne,Xe,Se,Nf,Xf,Sf
1,0,73,1.16,0.409,61,0.79,0.451,49,5.18,0.635,30,8.83,0.747,30,8.20,0.714,49,45.11,12.331
2,5317,75,1.01,0.115,60,0.63,0.486,42,4.81,0.943,33,8.76,0.663,30,7.77,0.728,42,42.39,8.120
3,9950,57,1.02,0.132,50,0.06,0.240,37,4.43,1.144,30,8.87,0.681,26,7.77,0.514,35,40.08,6.829
4,15182,74,1.18,0.605,75,0.65,0.937,54,4.72,0.627,36,9.06,0.715,37,7.89,0.809,48,47.72,9.903
5,19318,92,1.00,0.257,85,0.06,0.357,63,4.19,0.998,55,8.58,0.762,41,7.44,0.743,54,38.64,11.277
6,25551,81,1.02,0.222,72,0.14,0.454,56,4.18,0.855,40,8.75,0.899,34,7.85,0.657,41,42.69,7.977
7,30541,114,0.98,0.265,107,0.07,0.344,88,4.14,1.008,75,8.56,0.775,74,7.65,0.629,78,42.21,9.808
8,34030,84,0.99,0.109,74,0.30,0.460,63,4.71,0.792,52,8.77,0.703,55,7.69,0.573,48,47.18,10.231
9,36631,44,1.00,0.000,37,0.46,0.505,31,4.65,0.877,22,9.18,0.501,15,8.00,0.756,19,44.83,15.669
10,38052,52,0.96,0.194,53,1.17,0.580,49,4.92,0.838,28,9.18,0.772,23,8.09,0.668,27,52.20,16.439
11,41008,77,0.86,0.352,70,0.81,0.519,65,4.71,0.897,54,8.94,0.627,50,7.70,0.647,52,48.80,12.339
12,50629,81,0.89,0.316,80,0.77,0.449,69,4.42,0.830,45,9.20,0.588,48,8.00,0.583,46,50.71,12.509
13,55246,53,0.85,0.361,51,0.45,0.503,41,4.56,0.743,35,9.14,0.648,28,7.86,0.525,31,48.04,11.502
14,60289,54,0.85,0.359,57,0.88,0.331,49,4.59,0.998,37,9.05,0.664,34,7.94,0.489,29,50.99,11.847
15,65312,75,0.88,0.327,76,0.92,0.271,65,4.82,0.864,41,9.10,0.539,39,7.85,0.540,41,48.12,11.866
16,70119,46,0.80,0.542,45,1.09,0.288,37,4.89,0.516,25,9.20,0.707,23,8.00,0.603,26,52.28,9.439
17,75075,50,0.76,0.555,51,1.12,0.431,42,4.98,0.517,30,9.13,0.730,26,7.96,0.528,27,45.51,10.183
18,81150,64,0.72,0.453,73,0.95,0.283,62,4.73,0.682,58,9.31,0.754,56,8.02,0.646,47,45.78,14.375
19,86454,57,0.72,0.675,60,1.12,0.666,52,4.96,0.484,32,9.75,0.718,29,8.07,0.593,36,45.11,8.310
20,92006,103,0.76,0.453,107,1.24,0.511,101,5.35,0.623,84,9.63,0.803,75,8.23,0.746,68,51.51,12.312
21,93445,110,2.98,0.191,97,2.79,0.499,79,5.56,0.572,82,10.02,0.846,76,8.67,0.641,62,50.45,14.564
22,96659,118,2.76,0.534,108,1.31,0.636,97,5.27,0.511,89,9.80,0.828,83,8.45,0.720,67,48.60,11.613
23,99377,114,1.46,0.654,116,1.22,0.630,109,5.24,0.507,95,9.62,0.732,87,8.17,0.702,74,54.14,11.217
24,101306,90,1.22,0.536,83,1.40,0.715,82,5.13,0.465,57,9.67,0.715,51,8.37,0.720,58,45.42,11.564
25,106969,52,1.08,0.436,52,1.15,0.415,43,5.16,0.574,45,9.80,0.694,39,8.56,0.754,30,53.23,16.758
26,107667,86,0.98,0.375,85,1.01,0.362,72,5.00,0.581,64,9.84,0.718,56,8.41,0.654,48,47.49,11.487
