Bg,Bs,Bd,B/C,C,E+F,G+H
GrN-4976,GrN-4978,ave.,Z-2423,Z-193/2424,Z-537,Z-536
10830,12320,12695,13070,16940,22660,27800
9,13,18,3,7,1,6
1.3481,1.361,1.3712,1.3137,1.3813,1.3635,1.3712
0.046,0.041,0.038,0.054,0.077,0.053,0.063
9,11,18,3,7,1,8
0.94,0.9478,0.9555,0.9322,0.9517,0.9858,0.9555
0.05,0.021,0.063,0.05,0.1,0.061,0.08
20,27,43,14,15,8,22
1.1249,1.1086,1.0986,1.141,1.1119,1.0682,1.1314
0.046,0.045,0.047,0.049,0.067,0.045,0.067
17,18,40,14,11,5,15
1.0508,1.0578,1.0367,1.0613,1.0367,1.0152,1.0296
0.049,0.066,0.056,0.023,0.06,0.039,0.027
35,44,47,24,27,12,16
0.9969,0.9969,1.0116,1.0006,1.0225,0.9969,1.0438
0.065,0.052,0.071,0.063,0.09,0.068,0.088
32,32,41,20,23,9,13
0.967,0.9361,0.9478,0.9594,0.9478,0.9746,0.9746
0.046,0.077,0.056,0.049,0.066,0.042,0.032
17,9,12,6,6,3,7
1.0116,1.0403,1.0613,1.0403,1.0296,1.0367,1.0043
0.065,0.047,0.055,0.078,0.082,0.064,0.033
17,7,11,6,7,3,5
0.793,0.7975,0.802,0.8372,0.793,0.7975,0.793
0.066,0.049,0.036,0.037,0.059,0.045,0.029
7,11,5,3,10,4,6
1.247,1.2384,1.2149,1.2,1.206,1.2669,1.2698
0.023,0.057,0.023,0.03,0.045,0.068,0.048
9,11,6,2,11,2,5
0.3646,0.3716,0.3716,0.4383,0.4187,0.4055,0.4318
0.067,0.085,0.068,0.068,0.063,0.023,0.052
27,19,25,10,17,9,6
1.0716,1.0716,1.0852,1.0953,1.0613,1.0682,1.0647
0.048,0.027,0.044,0.043,0.053,0.044,0.039
27,17,21,10,17,11,6
0.4947,0.5008,0.5068,0.5247,0.5068,0.5068,0.4637
0.054,0.068,0.058,0.069,0.027,0.036,0.031
17,15,26,5,13,3,8
1.0043,0.9895,1.0043,0.9858,0.9555,0.9821,1.0043
0.064,0.043,0.042,0.036,0.051,0.094,0.029
14,15,21,5,13,3,7
0.3988,0.3716,0.3853,0.4187,0.3853,0.3716,0.3853
0.047,0.076,0.052,0.039,0.06,0.021,0.071
9,10,12,5,4,3,3
1.2,1.1663,1.1878,1.1969,1.1569,1.2208,1.1378
0.066,0.034,0.043,0.045,0.032,0.037,0.048
7,9,11,5,3,3,3
0.2852,0.27,0.2624,0.27,0.3293,0.2776,0.1989
0.053,0.025,0.046,0.073,0.021,0.046,0.148
