Level,N,X1,S1,X2,S2,X3,S3,X4,S4,X5,S5,X6,S6,N,X7,S7
1520,4,-0.473,0.057,0.432,0.122,0.206,0.074,0.692,0.046,0.969,0.149,1.042,0.093,4,160.51,7.08
1530,8,-0.472,0.045,0.560,0.135,0.183,0.086,0.779,0.092,0.947,0.099,1.082,0.094,5,152.57,6.49
1535,8,-0.530,0.163,0.447,0.121,0.179,0.127,0.732,0.053,0.884,0.202,1.087,0.088,7,145.10,10.44
1570,9,-0.443,0.082,0.497,0.112,0.210,0.087,0.710,0.083,0.927,0.120,1.067,0.066,8,155.13,7.03
1590,8,-0.478,0.114,0.435,0.113,0.166,0.045,0.706,0.052,0.889,0.136,1.039,0.085,3,144.69,6.07
1630,6,-0.499,0.049,0.492,0.090,0.174,0.069,0.721,0.069,0.908,0.095,1.109,0.118,4,152.11,10.50
1645,11,-0.510,0.084,0.400,0.088,0.180,0.067,0.687,0.045,0.862,0.117,1.054,0.079,11,154.82,7.01
1665,13,-0.506,0.086,0.433,0.099,0.135,0.042,0.725,0.081,0.905,0.059,1.071,0.107,14,153.37,5.68
1700,10,-0.474,0.048,0.495,0.133,0.210,0.061,0.718,0.052,0.923,0.134,1.075,0.114,10,159.18,5.63
1720,9,-0.528,0.068,0.417,0.102,0.117,0.067,0.795,0.082,0.836,0.086,1.132,0.079,13,155.01,6.54
1750,10,-0.541,0.084,0.478,0.071,0.181,0.055,0.735,0.064,0.863,0.115,1.109,0.083,13,152.33,6.16
1760,10,-0.444,0.069,0.513,0.089,0.176,0.043,0.697,0.047,0.901,0.102,1.069,0.084,9,159.63,9.40
1815,4,-0.453,0.035,0.434,0.078,0.134,0.049,0.701,0.036,0.869,0.045,1.112,0.075,,,
1840,3,-0.518,0.071,0.465,0.095,0.189,0.064,0.731,0.058,0.944,0.099,1.054,0.083,,,
1850,7,-0.427,0.048,0.439,0.092,0.170,0.050,0.664,0.046,0.875,0.082,1.033,0.070,3,154.88,6.07
1895,4,-0.466,0.044,0.451,0.055,0.145,0.037,0.706,0.036,0.833,0.058,1.137,0.093,3,156.40,6.07
1970,7,-0.491,0.053,0.469,0.054,0.115,0.083,0.695,0.025,0.898,0.088,1.077,0.024,2,153.50,6.07
2005,3,-0.401,0.071,0.515,0.095,0.211,0.064,0.688,0.058,0.928,0.099,1.049,0.083,,,
2020,,,,,,,,,,,,,,2,145.62,6.07
2050,10,-0.486,0.079,0.479,0.128,0.098,0.077,0.733,0.088,0.820,0.065,1.141,0.098,3,155.67,6.07
2065,,,,,,,,,,,,,,1,155.23,6.07
2095,9,-0.487,0.057,0.490,0.060,0.174,0.086,0.690,0.045,0.914,0.105,1.088,0.085,,,
