UF,Field,Locality,Biozone,Genus,Species,Element,L_mm,W_mm,Ln_LxW,Wgt_kg,Strat_m
259925,CAB09-0599,v06153,Wa-1,Sifrhippus,grangeri,M/1,6.88,4.72,3.48,7.47,75.32
254107,CAB09-0601,v06153,Wa-1,Sifrhippus,grangeri,M/1,6.85,4.73,3.48,7.44,75.32
259934,CAB09-1133,v08002,Wa-1,Sifrhippus,grangeri,M/1,7.86,5.48,3.76,11.45,75.32
253970,CAB08-1036,v08179,Wa-1,Sifrhippus,grangeri,M/1,7.05,4.89,3.54,8.18,73.37
259931,CAB09-0867,v08179,Wa-1,Sifrhippus,grangeri,M/1,6.56,4.86,3.46,7.26,73.37
259932,CAB09-0875,v08179,Wa-1,Sifrhippus,grangeri,M/1,7.27,4.64,3.52,7.91,73.37
252291,CAB06-671,v06131,Wa-1,Sifrhippus,grangeri,M/1,6.90,4.61,3.46,7.24,72.96
253865,CAB08-877,v08178,Wa-1,Sifrhippus,grangeri,M/1,6.99,4.77,3.51,7.77,72.52
259929,CAB09-0829,v08178,Wa-1,Sifrhippus,grangeri,M/1,6.86,4.85,3.50,7.75,72.52
259937,CAB10-0314,v10035,Wa-1,Sifrhippus,grangeri,M/1,7.53,5.28,3.68,10.14,69.97
254006,CAB08-1072,v07056,Wa-1,Sifrhippus,grangeri,M/1,7.30,4.96,3.59,8.81,68.57
254103,CAB08-1119,v08114,Wa-1,Sifrhippus,grangeri,M/1,7.53,5.20,3.67,9.91,62.77
259933,CAB09-0977,v09189,Wa-1,Sifrhippus,sandrae,M/1,7.25,5.06,3.60,8.98,61.95
253280,CAB08-288,v08075,Wa-1,Sifrhippus,grangeri,M/1,7.34,5.15,3.63,9.40,47.50
251424,CAB05-584,v05037,Wa-0?,Sifrhippus,grangeri,M/1,7.15,4.78,3.53,8.07,45.10
251461,CAB06-010,v06010,Wa-0,Sifrhippus,sandrae,M/1,6.49,4.47,3.37,6.30,44.20
250499,CAB05-150-02,v05009,Wa-0,Sifrhippus,sandrae,M/1,6.36,3.92,3.22,5.01,40.90
251778,CAB06-248,v06057,Wa-0,Sifrhippus,sandrae,M/1,5.95,3.98,3.16,4.63,40.90
259921,CAB09-0367,v09110,Wa-0,Sifrhippus,sandrae,M/1,6.46,4.23,3.31,5.75,40.90
259922,CAB09-0369,v09110,Wa-0,Sifrhippus,sandrae,M/1,6.14,4.20,3.25,5.27,40.90
259923,CAB09-0451,v09130,Wa-0,Sifrhippus,sandrae,M/1,6.05,3.87,3.15,4.55,40.90
259924,CAB09-0494,v09123,Wa-0,Sifrhippus,sandrae,M/1,6.20,3.58,3.10,4.20,40.90
259928,CAB09-0734,v08154,Wa-0,Sifrhippus,sandrae,M/1,6.26,4.22,3.27,5.46,40.00
259935,CAB10-0102,v09110,Wa-0,Sifrhippus,sandrae,M/1,6.46,4.31,3.33,5.92,40.00
259938,CAB10-0434,v10060,Wa-0,Sifrhippus,sandrae,M/1,6.05,4.01,3.19,4.80,36.25
259939,CAB10-0443,v10060,Wa-0,Sifrhippus,sandrae,M/1,6.63,4.16,3.32,5.83,36.25
259919,CAB09-0199,v09050,Wa-0,Sifrhippus,sandrae,M/1,6.16,3.99,3.20,4.90,34.98
253060,CAB08-067,v08011,Wa-0,Sifrhippus,sandrae,M/1,6.58,4.44,3.37,6.36,32.07
253061,CAB08-068,v08011,Wa-0,Sifrhippus,sandrae,M/1,6.06,4.05,3.20,4.89,32.07
253062,CAB08-069,v08011,Wa-0,Sifrhippus,sandrae,M/1,5.99,3.94,3.16,4.61,32.07
253063,CAB08-070,v08011,Wa-0,Sifrhippus,sandrae,M/1,6.33,4.20,3.28,5.52,32.07
259927,CAB09-0672,v09158,Wa-0,Sifrhippus,sandrae,M/1,6.44,4.03,3.26,5.32,24.85
253508,CAB08-516,v08106,Wa-0,Sifrhippus,sandrae,M/1,6.90,4.22,3.37,6.33,24.35
250055,CAB04-512,v04148,Wa-0,Sifrhippus,sandrae,M/1,6.84,4.32,3.39,6.47,23.66
259936,CAB10-0259,v05108,Wa-0,Sifrhippus,sandrae,M/1,6.25,4.17,3.26,5.35,23.11
249832,CAB04-392,v04105,Wa-0,Sifrhippus,sandrae,M/1,6.70,4.33,3.37,6.30,20.75
259920,CAB09-0247,v09063,Wa-0,Sifrhippus,sandrae,M/1,6.69,4.26,3.35,6.13,17.65
254902,CAB09-0785,v09174,Wa-0,Sifrhippus,sandrae,M/1,6.95,4.53,3.45,7.13,17.65
250233,CAB05-030-31,v05006,Wa-0,Sifrhippus,sandrae,M/1,6.62,4.84,3.47,7.32,17.02
250234,CAB05-030-32,v05006,Wa-0,Sifrhippus,sandrae,M/1,6.60,4.48,3.39,6.48,17.02
250203,CAB05-030-49,v05006,Wa-0,Sifrhippus,sandrae,M/1,6.76,4.50,3.42,6.77,17.02
251562,CAB06-078-2,v05006,Wa-0,Sifrhippus,sandrae,M/1,6.78,4.47,3.41,6.73,17.02
251570,CAB06-079,v05006,Wa-0,Sifrhippus,sandrae,M/1,7.07,4.74,3.51,7.83,17.02
251517,CAB06-054-02,v06014,Wa-0,Sifrhippus,sandrae,M/1,6.83,4.57,3.44,7.03,14.45
